    1024,   8,       128,     0.015
    2048,   8,       256,     0.033
    4096,   8,       512,     0.068
    8192,   8,      1024,     0.136
   16384,   8,      2048,     0.260
   32768,   8,      4096,     0.528
   65536,   8,      8192,     0.850
  131072,   8,     16384,     1.508
  262144,   8,     32768,     0.374
  524288,   8,     65536,     0.682
 1048576,   8,    131072,     1.435
 2097152,   8,    262144,     1.937
 4194304,   8,    524288,     3.098
 8388608,   8,   1048576,     3.685
    1024,  16,        64,     0.017
    2048,  16,       128,     0.035
    4096,  16,       256,     0.069
    8192,  16,       512,     0.114
   16384,  16,      1024,     0.271
   32768,  16,      2048,     0.530
   65536,  16,      4096,     0.950
  131072,  16,      8192,     1.827
  262144,  16,     16384,     0.449
  524288,  16,     32768,     0.730
 1048576,  16,     65536,     1.725
 2097152,  16,    131072,     2.709
 4194304,  16,    262144,     3.589
 8388608,  16,    524288,     5.663
    1024,  32,        32,     0.017
    2048,  32,        64,     0.032
    4096,  32,       128,     0.071
    8192,  32,       256,     0.125
   16384,  32,       512,     0.249
   32768,  32,      1024,     0.559
   65536,  32,      2048,     1.001
  131072,  32,      4096,     2.017
  262144,  32,      8192,     0.302
  524288,  32,     16384,     0.999
 1048576,  32,     32768,     1.769
 2097152,  32,     65536,     3.152
 4194304,  32,    131072,     4.836
 8388608,  32,    262144,     7.632
    1024,  64,        16,     0.015
    2048,  64,        32,     0.034
    4096,  64,        64,     0.072
    8192,  64,       128,     0.128
   16384,  64,       256,     0.280
   32768,  64,       512,     0.488
   65536,  64,      1024,     1.119
  131072,  64,      2048,     2.041
  262144,  64,      4096,     0.530
  524288,  64,      8192,     0.843
 1048576,  64,     16384,     1.843
 2097152,  64,     32768,     1.974
 4194304,  64,     65536,     5.206
 8388608,  64,    131072,     9.397
    1024, 128,         8,     0.017
    2048, 128,        16,     0.035
    4096, 128,        32,     0.068
    8192, 128,        64,     0.123
   16384, 128,       128,     0.234
   32768, 128,       256,     0.573
   65536, 128,       512,     1.155
  131072, 128,      1024,     2.217
  262144, 128,      2048,     0.258
  524288, 128,      4096,     0.767
 1048576, 128,      8192,     2.013
 2097152, 128,     16384,     2.100
 4194304, 128,     32768,     7.102
 8388608, 128,     65536,    12.815
    1024, 256,         4,     0.015
    2048, 256,         8,     0.036
    4096, 256,        16,     0.068
    8192, 256,        32,     0.135
   16384, 256,        64,     0.272
   32768, 256,       128,     0.488
   65536, 256,       256,     1.150
  131072, 256,       512,     1.969
  262144, 256,      1024,     0.129
  524288, 256,      2048,     1.019
 1048576, 256,      4096,     1.155
 2097152, 256,      8192,     3.479
 4194304, 256,     16384,     6.532
 8388608, 256,     32768,    11.185
    1024, 512,         2,     0.017
    2048, 512,         4,     0.030
    4096, 512,         8,     0.066
    8192, 512,        16,     0.137
   16384, 512,        32,     0.238
   32768, 512,        64,     0.486
   65536, 512,       128,     0.969
  131072, 512,       256,     1.985
  262144, 512,       512,     0.498
  524288, 512,      1024,     0.980
 1048576, 512,      2048,     1.754
 2097152, 512,      4096,     0.986
 4194304, 512,      8192,     6.907
 8388608, 512,     16384,     7.115
